transaction_amount,customer_payment_history,previous_success_rate,previous_failure_count,failure_type,retry_count,customer_age_days,subscription_status,time_since_failure,payment_method,customer_segment,invoice_age,previous_recovery_success,recovered
2546.34,10,0.4125,5,authentication_failed,1,66,active,0.3,netbanking,regular,13.8,0,1
15250.61,0,0.6797,3,network_error,2,1066,past_due,5.4,card,vip,2.6,0,1
6783.73,2,0.7211,0,card_expired,0,169,active,0.9,upi,regular,12.0,0,1
4764.71,14,0.7822,2,authentication_failed,0,511,trialing,4.3,upi,starter,6.1,1,1
1048.12,7,0.8606,0,network_error,2,162,active,0.4,card,regular,4.2,0,1
1047.98,24,0.8682,0,authentication_failed,0,731,active,5.4,card,regular,10.3,0,1
499.19,5,0.9862,0,gateway_timeout,1,341,past_due,4.9,netbanking,enterprise,5.3,0,0
10256.15,19,0.872,2,insufficient_funds,1,188,paused,1.3,card,starter,0.4,0,1
4795.41,5,0.787,0,insufficient_funds,1,301,active,9.1,upi,regular,1.5,1,1
6356.25,36,0.7238,1,card_expired,2,65,active,2.6,upi,regular,0.7,0,1
304.0,30,0.9173,0,insufficient_funds,1,483,active,3.7,upi,regular,2.5,1,1
17717.79,3,0.8272,2,authentication_failed,2,80,active,1.2,netbanking,regular,4.8,1,1
9132.15,20,0.6507,0,insufficient_funds,0,226,past_due,2.9,card,regular,1.7,0,1
1393.44,17,0.6948,2,authentication_failed,0,1185,past_due,0.2,card,vip,6.0,0,1
1203.39,2,0.8167,1,authentication_failed,4,14,active,1.0,upi,regular,11.2,0,1
1213.06,9,0.6307,2,card_expired,0,48,active,0.6,netbanking,enterprise,4.4,1,1
2013.77,0,0.6687,1,gateway_timeout,0,291,trialing,0.9,wallet,enterprise,3.0,1,1
3919.64,17,0.8021,2,insufficient_funds,1,254,active,0.4,upi,regular,2.2,1,1
3027.69,1,0.7919,3,authentication_failed,4,323,active,1.4,upi,enterprise,1.2,1,1
1921.11,0,0.8158,0,network_error,2,5,active,7.0,upi,regular,1.1,0,0
4931.85,4,0.9083,4,authentication_failed,1,287,trialing,3.1,card,regular,0.9,0,1
951.17,8,0.6931,2,insufficient_funds,1,709,unpaid,3.3,netbanking,regular,3.1,0,1
1927.58,18,0.7835,0,insufficient_funds,5,129,trialing,2.3,upi,vip,11.5,1,1
2481.39,34,0.8197,2,authentication_failed,2,169,active,5.1,card,starter,5.8,1,1
3244.67,5,0.5586,1,network_error,0,302,active,9.6,upi,regular,1.2,0,1
7889.68,0,0.5083,3,network_error,1,532,trialing,5.3,card,regular,1.4,1,1
1313.68,13,0.7598,0,gateway_timeout,4,351,trialing,0.9,upi,regular,0.9,0,1
3810.15,7,0.6676,0,insufficient_funds,0,817,active,0.3,card,regular,0.7,1,1
4687.52,5,0.6213,2,gateway_timeout,2,337,trialing,0.2,card,regular,10.9,1,0
437.82,3,0.7132,2,authentication_failed,1,85,active,8.0,upi,regular,5.0,0,1
4876.67,6,0.7735,1,authentication_failed,0,565,paused,2.0,wallet,enterprise,1.5,0,1
1134.81,3,0.7944,1,card_expired,2,178,canceled,0.4,card,regular,1.9,0,0
536.32,13,0.5971,1,insufficient_funds,1,627,canceled,9.8,upi,regular,2.1,0,1
15068.44,7,0.6099,0,authentication_failed,0,17,active,2.0,upi,vip,4.9,0,1
17053.15,19,0.4723,4,authentication_failed,2,261,active,7.2,upi,enterprise,5.1,0,1
8461.66,7,0.4691,3,network_error,1,4,past_due,1.2,card,regular,0.9,0,1
2016.44,2,0.6392,2,insufficient_funds,1,41,active,1.1,card,vip,4.6,1,1
713.89,18,0.6308,1,authentication_failed,1,91,active,14.7,netbanking,regular,1.0,0,1
5963.75,7,0.6922,2,insufficient_funds,0,337,trialing,1.1,card,regular,0.1,0,1
3100.45,2,0.4979,0,card_expired,0,136,active,9.3,wallet,starter,1.3,0,1
850.76,9,0.5765,2,insufficient_funds,2,147,active,2.1,upi,regular,7.8,0,1
3617.74,4,0.5578,0,insufficient_funds,1,88,trialing,1.2,upi,regular,8.1,0,0
374.97,17,0.4549,1,gateway_timeout,3,464,active,2.6,card,starter,0.8,1,0
12202.11,5,0.7934,2,insufficient_funds,1,829,active,1.4,upi,enterprise,4.0,1,1
1697.29,12,0.8375,3,insufficient_funds,0,1022,active,0.2,upi,regular,4.5,0,1
5631.28,0,0.4447,1,insufficient_funds,1,185,past_due,0.7,wallet,regular,2.9,1,1
2067.73,4,0.6644,1,insufficient_funds,0,12,past_due,0.6,wallet,regular,7.4,1,1
3870.55,38,0.8137,1,gateway_timeout,1,26,active,2.7,netbanking,regular,9.2,1,1
4156.12,15,0.9205,2,authentication_failed,0,515,active,1.1,card,regular,4.2,1,1
1221.94,1,0.6569,2,insufficient_funds,4,228,past_due,0.5,upi,regular,0.1,1,0
17664.04,3,0.5002,0,card_expired,0,50,trialing,0.1,wallet,enterprise,14.5,1,1
7661.23,3,0.8655,5,insufficient_funds,2,193,past_due,0.9,card,regular,1.4,1,0
14225.47,9,0.5101,2,card_expired,1,239,trialing,6.0,upi,regular,3.6,0,1
11460.76,13,0.7055,0,card_expired,0,487,active,5.9,upi,enterprise,2.7,1,1
4755.27,13,0.9319,2,insufficient_funds,2,270,canceled,11.1,card,regular,1.9,1,1
12947.18,6,0.4415,1,network_error,4,166,active,4.1,card,enterprise,1.2,0,1
663.28,15,0.6771,1,insufficient_funds,0,231,active,1.4,card,regular,6.3,0,1
1290.67,5,0.6733,1,insufficient_funds,2,36,past_due,3.2,netbanking,vip,0.6,1,1
431.41,1,0.9709,3,insufficient_funds,2,71,unpaid,2.0,upi,regular,10.0,1,1
2167.66,7,0.8038,1,insufficient_funds,2,189,active,0.4,upi,vip,6.0,1,1
2660.65,28,0.8495,1,insufficient_funds,0,61,active,0.7,card,regular,4.6,1,1
1782.8,14,0.8717,0,insufficient_funds,2,1057,active,5.0,upi,enterprise,4.2,0,1
9022.79,8,0.896,0,gateway_timeout,0,199,active,13.6,card,regular,3.1,0,1
2406.13,9,0.7012,1,insufficient_funds,0,39,canceled,4.4,card,regular,0.7,1,1
1849.01,25,0.8996,2,insufficient_funds,0,641,canceled,4.5,upi,regular,5.1,1,1
4112.04,5,0.7236,0,insufficient_funds,0,310,trialing,6.5,netbanking,regular,2.0,1,1
959.49,3,0.492,4,insufficient_funds,1,10,active,6.2,card,starter,8.1,0,0
8302.42,35,0.9561,1,insufficient_funds,1,113,active,4.9,upi,regular,3.2,0,1
587.38,18,0.8828,0,gateway_timeout,0,139,active,6.7,card,vip,4.5,0,1
21870.73,3,0.9309,0,insufficient_funds,1,189,active,2.9,card,vip,8.4,0,1
7597.42,5,0.825,2,card_expired,0,95,unpaid,0.6,card,vip,1.9,1,0
1307.7,5,0.9692,1,insufficient_funds,0,320,trialing,5.6,upi,enterprise,1.1,0,1
227.69,1,0.8175,2,network_error,0,198,active,1.0,card,regular,5.4,0,1
8649.48,30,0.9768,1,gateway_timeout,0,13,past_due,9.7,netbanking,regular,10.3,1,1
6335.48,4,0.8085,0,insufficient_funds,0,21,active,0.3,netbanking,starter,9.4,1,1
6728.31,19,0.8989,0,insufficient_funds,0,100,past_due,0.6,upi,regular,17.0,1,1
7576.07,1,0.7105,1,insufficient_funds,4,264,active,2.4,upi,enterprise,2.9,0,1
584.65,7,0.8585,2,insufficient_funds,2,262,past_due,3.6,upi,enterprise,7.2,1,1
2419.46,0,0.6871,2,insufficient_funds,0,52,active,3.2,card,regular,16.5,0,1
815.75,13,0.8649,1,authentication_failed,0,559,paused,1.1,upi,regular,5.1,1,1
10142.65,8,0.7815,0,gateway_timeout,1,181,active,1.3,netbanking,regular,3.4,0,1
5081.51,9,0.8954,1,insufficient_funds,0,218,active,1.9,upi,regular,6.8,1,1
2209.09,0,0.8885,0,card_expired,3,390,trialing,2.1,wallet,enterprise,1.0,0,1
528.34,2,0.7398,1,gateway_timeout,2,31,active,7.1,upi,regular,3.4,0,1
2062.44,0,0.8398,0,authentication_failed,3,186,paused,0.2,upi,regular,4.4,1,1
2166.57,3,0.7378,1,insufficient_funds,2,298,active,6.4,wallet,regular,5.7,1,1
6739.38,9,0.6721,2,insufficient_funds,0,58,active,9.8,upi,starter,0.8,0,1
5274.45,7,0.6902,1,insufficient_funds,1,48,past_due,5.9,wallet,starter,1.8,1,0
11111.26,8,0.571,1,network_error,0,689,unpaid,8.5,upi,starter,1.8,1,0
3395.33,7,0.7199,1,card_expired,1,378,active,4.2,upi,enterprise,3.1,0,1
836.86,3,0.8252,0,insufficient_funds,2,7,past_due,0.5,upi,starter,3.2,1,1
6445.63,2,0.4914,3,insufficient_funds,2,129,active,4.4,upi,enterprise,4.1,0,1
7351.96,1,0.9023,0,gateway_timeout,2,51,active,1.1,card,starter,9.4,1,1
4319.44,17,0.6576,2,insufficient_funds,0,96,past_due,3.9,card,regular,7.6,0,0
7569.45,9,0.7934,0,insufficient_funds,0,85,active,6.4,netbanking,starter,0.5,1,1
3604.07,1,0.713,2,network_error,1,1500,active,0.9,upi,starter,0.0,0,1
3898.39,1,0.7984,2,insufficient_funds,1,928,past_due,8.3,netbanking,starter,0.4,0,1
2989.07,19,0.3155,0,card_expired,1,24,active,10.4,card,regular,4.4,1,1
328.74,12,0.7321,2,insufficient_funds,0,69,active,0.2,upi,vip,2.0,1,1
770.84,10,0.8059,0,gateway_timeout,0,379,active,4.2,netbanking,regular,7.8,1,1
359.67,4,0.8438,1,authentication_failed,2,251,active,3.2,card,vip,5.5,1,1
5258.65,2,0.7999,1,gateway_timeout,1,21,paused,0.3,card,enterprise,1.1,1,1
2086.98,36,0.8718,2,insufficient_funds,0,13,active,3.9,upi,regular,1.2,0,1
3752.19,15,0.3286,2,insufficient_funds,2,46,active,2.4,card,starter,7.9,0,0
12106.33,3,0.6139,2,insufficient_funds,0,142,past_due,0.2,netbanking,regular,5.4,1,1
1633.69,17,0.9187,1,gateway_timeout,1,501,active,5.2,upi,starter,2.2,1,1
2841.41,13,0.7081,4,gateway_timeout,0,117,unpaid,21.1,card,regular,13.1,0,1
7243.75,3,0.6496,0,insufficient_funds,4,84,unpaid,5.3,card,vip,2.5,0,0
1499.03,5,0.7241,4,authentication_failed,2,90,active,4.2,netbanking,starter,0.6,0,1
600.52,1,0.7009,2,insufficient_funds,0,248,active,9.5,card,regular,1.2,0,1
1910.7,1,0.8215,1,insufficient_funds,4,116,canceled,5.7,card,vip,1.5,1,0
1079.04,12,0.8647,3,authentication_failed,0,153,active,6.7,upi,starter,15.1,1,1
13474.75,2,0.7176,1,insufficient_funds,1,131,active,0.6,upi,starter,3.1,0,1
8454.44,16,0.7523,2,authentication_failed,0,122,canceled,0.4,netbanking,regular,5.3,0,1
5217.47,51,0.6041,1,gateway_timeout,1,45,active,9.3,card,enterprise,0.7,1,1
10457.6,0,0.7639,2,network_error,4,650,canceled,9.7,wallet,starter,3.7,0,0
8339.84,6,0.7878,4,insufficient_funds,1,37,past_due,1.0,card,regular,9.7,0,0
1232.48,15,0.5014,3,insufficient_funds,2,224,past_due,7.2,card,regular,0.0,0,0
11354.07,14,0.6983,2,insufficient_funds,4,16,past_due,12.8,upi,regular,6.2,1,1
4075.5,13,0.8346,2,gateway_timeout,1,50,trialing,1.2,wallet,enterprise,8.1,1,1
8436.74,4,0.9374,1,card_expired,0,100,canceled,0.7,upi,starter,0.1,0,0
11521.21,5,0.8702,0,gateway_timeout,0,55,unpaid,1.3,netbanking,regular,2.8,0,0
2113.65,8,0.8799,2,insufficient_funds,0,122,active,4.1,card,vip,2.8,0,1
782.96,34,0.4188,2,authentication_failed,4,296,paused,9.7,card,regular,10.7,1,1
1493.43,3,0.8927,3,insufficient_funds,3,261,trialing,4.3,card,regular,2.5,1,0
2985.29,24,0.7836,0,gateway_timeout,1,200,active,0.9,card,vip,9.5,0,1
8719.15,2,0.6418,2,gateway_timeout,0,91,active,1.6,card,vip,1.2,0,1
10056.72,42,0.7625,0,network_error,2,467,active,2.8,card,enterprise,0.1,1,1
234.88,10,0.7691,1,authentication_failed,2,490,past_due,0.7,card,regular,1.8,0,1
3774.38,5,0.6626,1,gateway_timeout,2,63,past_due,5.0,upi,starter,12.0,0,1
2901.37,9,0.9074,2,authentication_failed,0,862,past_due,5.5,upi,vip,1.8,1,1
1455.84,3,0.8011,1,card_expired,0,45,active,3.0,card,regular,1.4,1,1
838.4,3,0.7218,1,authentication_failed,2,75,active,3.6,upi,enterprise,0.4,1,1
2259.54,1,0.8472,0,authentication_failed,1,325,active,1.2,card,starter,1.6,1,1
14515.61,1,0.7249,2,insufficient_funds,0,321,active,1.4,card,regular,0.1,1,1
2151.92,4,0.727,0,card_expired,1,68,active,0.7,upi,regular,0.7,0,1
3857.26,13,0.4183,1,card_expired,1,183,active,3.0,wallet,regular,9.6,0,0
6270.43,8,0.8809,1,insufficient_funds,1,7,canceled,1.8,wallet,regular,3.7,1,0
2459.87,1,0.3885,2,insufficient_funds,0,214,active,1.1,upi,regular,4.4,0,1
18038.99,18,0.9027,1,insufficient_funds,2,647,active,0.2,wallet,vip,1.6,1,1
16610.05,8,0.617,1,insufficient_funds,1,49,active,3.1,netbanking,regular,10.1,1,0
1650.31,30,0.7261,2,authentication_failed,3,4,past_due,0.3,card,regular,1.4,0,0
3638.3,10,0.377,2,authentication_failed,2,379,past_due,5.2,wallet,regular,0.2,1,1
1989.65,1,0.6584,1,insufficient_funds,4,722,active,3.6,netbanking,enterprise,1.7,0,1
1876.25,6,0.8571,3,insufficient_funds,2,81,past_due,1.8,card,regular,14.3,1,0
387.92,9,0.6396,1,insufficient_funds,0,548,unpaid,4.3,upi,regular,1.0,0,1
4902.46,0,0.7565,1,gateway_timeout,0,152,past_due,3.7,card,vip,8.5,0,1
